entry_time,exit_time,side,entry_price,exit_price,hold_time,pnl_pct,pnl_dollars,balance,exit_reason
2025-07-25 12:30:00,2025-07-25 12:40:00,SHORT,116022.3,116416.9,2,-0.017604281245932593,-81.40308614494575,9166.697987422443,stop_loss
2025-07-26 08:20:00,2025-07-26 10:35:00,LONG,117418.0,117969.4,27,0.014784172784411052,67.76102345428322,9234.459010876726,take_profit
2025-07-26 15:10:00,2025-07-26 15:50:00,SHORT,117919.4,118154.2,8,-0.011964762371586115,-55.24405384764609,9179.21495702908,stop_loss
2025-07-26 18:45:00,2025-07-26 21:10:00,LONG,118099.9,117869.4,29,-0.011806949878873735,-54.189265462525235,9125.025691566556,stop_loss
2025-07-26 22:00:00,2025-07-27 00:05:00,LONG,118059.9,117814.4,25,-0.012317811551593725,-56.20017343608402,9068.825518130472,stop_loss
2025-07-27 01:05:00,2025-07-27 07:00:00,LONG,118036.2,118218.7,71,0.0021845433858426484,9.905621401496475,9078.731139531968,trailing_stop
2025-07-27 21:35:00,2025-07-27 22:00:00,LONG,119017.7,119524.2,5,0.013022678139470011,59.114696772454316,9137.845836304423,take_profit
2025-07-28 00:15:00,2025-07-28 00:40:00,LONG,119636.9,119270.3,5,-0.01625708790515272,-74.27738151226738,9063.568454792156,stop_loss
2025-07-28 00:45:00,2025-07-28 01:15:00,SHORT,119163.9,119398.2,6,-0.011864797979925226,-53.768704346665984,9009.799750445489,stop_loss
2025-07-28 05:15:00,2025-07-28 07:05:00,LONG,119429.3,118952.0,22,-0.01998602687950119,-90.03504999566333,8919.764700449825,stop_loss
2025-07-28 12:05:00,2025-07-28 13:10:00,LONG,118949.6,118708.6,13,-0.012104272733998264,-53.983632328667504,8865.781068121158,stop_loss
2025-07-28 16:50:00,2025-07-28 17:20:00,SHORT,118048.5,117830.0,6,0.0034037365997873752,15.088391753632996,8880.86945987479,trailing_stop
2025-07-28 19:05:00,2025-07-28 19:35:00,LONG,118095.1,117861.6,6,-0.011908880216029285,-52.88060530592078,8827.988854568868,stop_loss
2025-07-28 19:45:00,2025-07-28 19:50:00,SHORT,117627.4,117906.8,1,-0.013501187648456354,-59.59416704200778,8768.394687526861,stop_loss
2025-07-28 20:15:00,2025-07-28 20:30:00,SHORT,117811.6,117802.9,3,-0.0037046131280786734,-16.241755035793652,8752.152932491068,trailing_stop
2025-07-28 22:40:00,2025-07-28 23:20:00,SHORT,117863.6,118125.5,8,-0.012888240304894613,-56.39992508956649,8695.753007401501,stop_loss
2025-07-28 23:55:00,2025-07-29 00:25:00,LONG,118069.7,118215.8,6,0.0009496187421499614,4.128825016467679,8699.881832417968,trailing_stop
2025-07-29 00:35:00,2025-07-29 01:05:00,SHORT,117841.5,118063.2,6,-0.011525362457198766,-50.13464572670783,8649.74718669126,stop_loss
2025-07-29 03:00:00,2025-07-29 03:50:00,LONG,118224.8,118678.0,10,0.011333500246986997,49.01595593837024,8698.76314262963,take_profit
2025-07-29 12:20:00,2025-07-29 12:45:00,LONG,118745.5,118929.8,5,0.0022082352594415084,9.604457742542486,8708.367600372172,trailing_stop
2025-07-29 13:55:00,2025-07-29 14:05:00,SHORT,118615.2,118091.5,2,0.01366046847284318,59.480190527406535,8767.84779089958,take_profit
2025-07-29 19:20:00,2025-07-29 20:15:00,SHORT,117509.9,117669.4,11,-0.009429329784128828,-41.337464158718774,8726.510326740861,trailing_stop
2025-07-30 00:30:00,2025-07-30 01:40:00,SHORT,117585.4,117844.5,14,-0.012814019427582195,-55.91083643092702,8670.599490309934,stop_loss
2025-07-30 06:05:00,2025-07-30 09:00:00,LONG,118049.7,118300.4,35,0.004494727220822996,19.485989774975028,8690.08548008491,trailing_stop
2025-07-30 09:30:00,2025-07-30 10:35:00,SHORT,118084.7,118389.9,13,-0.014338341885104407,-62.30070831211955,8627.784771772791,stop_loss
2025-07-30 10:55:00,2025-07-30 11:55:00,SHORT,117991.8,117541.1,12,0.011279027864648123,48.65651242550603,8676.441284198298,take_profit
2025-07-31 12:50:00,2025-07-31 13:10:00,LONG,118533.9,118260.2,4,-0.013236176317492198,-57.42145332300855,8619.01983087529,stop_loss
2025-08-01 04:00:00,2025-08-01 05:00:00,SHORT,115471.4,115750.4,12,-0.013664730833782219,-58.88829301997099,8560.131537855319,stop_loss
2025-08-01 05:05:00,2025-08-01 05:15:00,LONG,115836.6,115413.6,2,-0.018606782312326153,-79.63825204487581,8480.493285810444,stop_loss
2025-08-01 13:40:00,2025-08-01 13:45:00,SHORT,114939.1,114436.6,1,0.013487521652770902,57.190418409273306,8537.683704219717,take_profit
2025-08-01 16:55:00,2025-08-01 17:05:00,SHORT,114961.5,114784.9,2,0.0021446658229061317,9.155239223611325,8546.838943443328,trailing_stop
2025-08-01 22:10:00,2025-08-01 22:30:00,SHORT,113588.3,113079.6,4,0.013913816827965452,59.459575758596124,8606.298519201924,take_profit
2025-08-02 06:10:00,2025-08-02 06:45:00,SHORT,113789.1,113609.6,7,0.002309918964118707,9.939926080185636,8616.23844528211,trailing_stop
2025-08-02 11:25:00,2025-08-02 12:40:00,LONG,113815.9,113535.1,15,-0.013868568451331963,-59.747446335696516,8556.490998946414,stop_loss
2025-08-02 17:50:00,2025-08-02 19:05:00,SHORT,112605.6,112159.2,15,0.011857115454293878,50.727650829066995,8607.218649775481,take_profit
2025-08-02 20:55:00,2025-08-02 22:20:00,LONG,112754.4,112541.5,17,-0.011552698608657194,-49.71830145983473,8557.500348315647,stop_loss
2025-08-02 23:15:00,2025-08-03 00:40:00,SHORT,112533.7,112588.0,17,-0.0059300884979345,-25.37336719330855,8532.12698112234,trailing_stop
2025-08-03 06:55:00,2025-08-03 11:05:00,LONG,113514.4,113984.7,50,0.012572346768339626,53.63442953908839,8585.761410661427,take_profit
2025-08-03 12:10:00,2025-08-03 12:40:00,SHORT,113699.4,113960.5,6,-0.013185624550349636,-56.604313219930916,8529.157097441497,stop_loss
