entry_idx,exit_idx,side,entry_price,exit_price,pnl_pct,pnl_usd,holding_candles,exit_reason,entry_prob
22498,22503,SHORT,115620.0,115576.7,0.03745026811970499,-0.27071750440449893,5,ML Exit,0.5896379
22511,22514,SHORT,115477.8,115429.0,0.04225920479953975,0.24147172537920714,3,ML Exit,0.6570848
22514,22520,SHORT,115429.0,114835.0,0.5146020497448648,50.55011219043732,6,ML Exit,0.5587875
22532,22546,SHORT,115696.0,115508.9,0.16171691329000643,13.023232591055745,14,ML Exit,0.5678052
22554,22602,SHORT,115721.8,116495.8,-0.668845455221056,-75.92556110297271,48,Max Hold,0.5770923
22604,22652,SHORT,116779.9,117189.8,-0.35100218445127007,-41.598402335309565,48,Max Hold,0.6024494
22669,22675,SHORT,117075.5,117102.3,-0.022891211226945783,-6.665374932375657,6,ML Exit,0.5756788
22681,22729,SHORT,116984.2,117000.2,-0.013677060662892938,-5.685311902164189,48,Max Hold,0.5788924
22755,22803,SHORT,117673.2,117736.1,-0.053453122716139896,-9.89385192102619,48,Max Hold,0.56299365
22825,22827,SHORT,117468.7,117377.4,0.07772283169899974,3.9913456193076495,2,ML Exit,0.57866853
22830,22850,SHORT,117485.9,117158.0,0.279097321465805,25.302759509360822,20,ML Exit,0.55082464
22851,22857,SHORT,117226.4,117226.0,0.0003412200664647036,-4.205483941995356,6,ML Exit,0.5818869
22886,22915,SHORT,117223.7,116888.9,0.28560777385460695,26.0409500291793,29,ML Exit,0.56508756
22916,22920,SHORT,116906.3,116679.5,0.19400152087612293,16.366677335788864,4,ML Exit,0.56579804
22940,22945,SHORT,116822.1,116744.5,0.06642578758642913,2.8132439877973896,5,ML Exit,0.56942457
22978,22989,SHORT,116871.0,116589.0,0.24129168057088585,21.428914928214724,11,ML Exit,0.56144613
23020,23025,SHORT,116340.0,116095.5,0.21015987622485816,18.149495915989192,5,ML Exit,0.60979337
23044,23047,SHORT,116318.1,116125.2,0.16583833470458056,13.444021861297692,3,ML Exit,0.6735174
23048,23056,SHORT,116055.0,115679.8,0.32329498944465734,30.301128925517794,8,ML Exit,0.5571075
23064,23066,SHORT,115873.8,115917.7,-0.03788604499032065,-8.351994850300953,2,ML Exit,0.5840132
23096,23101,SHORT,115534.4,115263.9,0.2341294021520863,20.80476843214162,5,ML Exit,0.5504586
23142,23190,SHORT,115563.9,115452.1,0.09674301403811084,6.092950972513294,48,Max Hold,0.59843785
23191,23239,SHORT,115471.6,115616.0,-0.12505239383536226,-17.729193412430742,48,Max Hold,0.58173484
23242,23290,SHORT,115663.6,115692.8,-0.025245626108816505,-6.996885164599798,48,Max Hold,0.5535555
23302,23350,SHORT,115853.2,115898.9,-0.039446471914454745,-8.514677076551866,48,Max Hold,0.56688476
23358,23376,SHORT,115970.2,115679.0,0.25109898922309104,22.61059358665698,18,ML Exit,0.5888952
23382,23430,SHORT,115721.1,115685.6,0.030677205799115287,-0.9996615317627144,48,Max Hold,0.6023991
23443,23491,SHORT,115572.5,115591.9,-0.016786000129783624,-6.092861483311781,48,Max Hold,0.63137436
23498,23546,SHORT,115530.3,115599.5,-0.05989770648911765,-10.713406421521864,48,Max Hold,0.6558314
23551,23599,SHORT,115557.1,115700.2,-0.12383488336068597,-17.554142003052657,48,Max Hold,0.557942
23664,23700,SHORT,115575.6,115232.8,0.29660239704574576,27.45314482361036,36,ML Exit,0.5776721
23706,23744,SHORT,115310.5,114782.8,0.45763395354282316,44.789850972816495,38,ML Exit,0.5929601
23752,23753,SHORT,114450.2,114593.8,-0.1254694181399472,-17.815265014496276,1,ML Exit,0.655666
23758,23763,SHORT,114282.7,114353.8,-0.06221414089797128,-10.987254994497661,5,ML Exit,0.5711073
23763,23766,SHORT,114353.8,114215.9,0.12059065811543537,8.656015752433511,3,ML Exit,0.562785
23767,23768,SHORT,114246.4,114241.9,0.003938854966108341,-3.874948039463672,1,ML Exit,0.5746324
23792,23840,SHORT,114362.5,112659.0,1.4895617007323205,155.74460347516276,48,Max Hold,0.61521465
23847,23848,SHORT,112367.0,112294.3,0.06469871047549289,2.691099830399799,1,ML Exit,0.5714534
23857,23862,SHORT,112435.5,112396.7,0.034508673861905634,-0.5973942782382813,5,ML Exit,0.59175664
23866,23914,SHORT,112786.8,112806.1,-0.01711193153809037,-6.221000670900905,48,Max Hold,0.5607427
23914,23919,SHORT,112806.1,112666.2,0.12401811604160477,9.148982501996446,5,ML Exit,0.5786853
23919,23920,SHORT,112666.2,112593.0,0.06497068331052,2.721915480119712,1,ML Exit,0.5616631
23920,23921,SHORT,112593.0,112613.3,-0.018029540024693286,-6.32408138982817,1,ML Exit,0.5634076
23932,23938,SHORT,112684.9,112559.7,0.11110627954588156,7.746856166086028,6,ML Exit,0.5694355
23963,23970,SHORT,112380.2,112324.6,0.04947490750149161,1.0337213631026447,7,ML Exit,0.6238393
