entry_time,exit_time,side,entry_price,exit_price,position_value,pnl_pct,pnl_net,exit_reason,hold_candles
2025-10-16 19:35:00,2025-10-16 21:35:00,LONG,107747.7,108271.3,70147.00273720664,0.01943800192486729,1328.4440728608904,ML Exit (0.807),23
2025-10-16 22:05:00,2025-10-16 23:20:00,LONG,108200.3,108348.3,74563.98088376656,0.0054713341829920985,370.6824669874381,ML Exit (0.793),14
2025-10-16 23:20:00,2025-10-16 23:30:00,LONG,108348.3,108180.8,72774.67201288158,-0.006183761074239282,-486.4085199902288,ML Exit (0.716),1
2025-10-16 23:30:00,2025-10-17 03:50:00,LONG,108180.8,109050.7,75529.90907094127,0.03216467247422811,2391.629832739586,ML Exit (0.757),51
2025-10-17 03:50:00,2025-10-17 06:10:00,SHORT,109050.7,108273.1,79771.49993151787,0.028522512922887842,2235.3978877091063,ML Exit (0.766),27
2025-10-17 06:10:00,2025-10-17 06:15:00,SHORT,108273.1,107949.0,82359.96865597527,0.011973426455878913,944.9510432828248,ML Exit (0.757),0
2025-10-17 10:15:00,2025-10-17 11:30:00,LONG,104169.2,106209.9,77516.23252633693,0.07836097426110586,6035.489385551016,ML Exit (0.747),14
2025-10-17 12:50:00,2025-10-17 16:00:00,LONG,105380.4,107251.4,81509.19808046556,0.07101889915012659,5747.938919244042,ML Exit (0.733),37
2025-10-17 17:15:00,2025-10-17 21:05:00,LONG,106261.4,107199.2,84242.36403064535,0.03530162410809581,2931.7710869718903,ML Exit (0.791),45
2025-10-17 23:10:00,2025-10-18 01:25:00,LONG,106782.2,107235.1,89652.66299585512,0.016965374378876207,1476.1646602899757,ML Exit (0.834),26
2025-10-18 02:55:00,2025-10-18 03:30:00,LONG,106535.1,107034.7,94385.61568212441,0.018758136989592774,1723.3055009712834,ML Exit (0.746),6
2025-10-18 04:00:00,2025-10-18 07:05:00,LONG,106676.8,107295.6,91386.36830572602,0.02320279573440534,2074.726052554032,ML Exit (0.903),36
2025-10-18 09:05:00,2025-10-18 19:10:00,LONG,106591.6,106819.8,92287.01860186139,0.008563526581831855,744.1588276541203,Max Hold (120 candles),120
2025-10-18 23:15:00,2025-10-19 00:50:00,SHORT,106991.9,106781.8,93418.50467062781,0.00785480022319414,687.0744390019963,ML Exit (0.845),18
2025-10-19 00:50:00,2025-10-19 03:35:00,LONG,106781.8,107207.4,101822.82585172699,0.015942791749155426,1572.4286949387395,ML Exit (0.740),32
2025-10-19 03:35:00,2025-10-19 09:05:00,SHORT,107207.4,106205.1,105092.19877471912,0.0373966722446394,3877.5524136593053,ML Exit (0.837),65
2025-10-19 09:05:00,2025-10-19 11:05:00,LONG,106205.1,108101.5,113673.9902553168,0.07142406532266318,8062.221510355867,ML Exit (0.832),23
2025-10-19 12:10:00,2025-10-19 22:15:00,LONG,107523.2,109147.6,107203.86577246444,0.060429749114610014,6424.700779860122,Max Hold (120 candles),120
2025-10-19 22:15:00,2025-10-19 23:35:00,SHORT,109147.6,108655.2,113871.20770482055,0.018045289131415027,1997.9032629244912,ML Exit (0.756),15
2025-10-20 00:10:00,2025-10-20 07:15:00,LONG,108024.2,111262.2,119002.84090359234,0.11989905965515135,14208.827300180508,ML Exit (0.718),84
2025-10-20 14:05:00,2025-10-20 17:20:00,SHORT,111035.6,110405.9,121590.52217130245,0.02268461646535027,2697.439100192013,ML Exit (0.748),38
2025-10-20 18:40:00,2025-10-20 19:15:00,SHORT,110731.2,110570.3,124341.91217943664,0.005812273324952468,660.5382232444038,ML Exit (0.719),6
2025-10-20 19:55:00,2025-10-21 00:10:00,SHORT,110751.3,110113.8,126311.4418525419,0.023024560434053595,2845.1097055200266,ML Exit (0.730),50
2025-10-21 04:35:00,2025-10-21 07:45:00,LONG,107891.4,108119.4,138218.40374659942,0.008452944349595983,1099.243273086694,ML Exit (0.732),37
2025-10-21 07:45:00,2025-10-21 07:55:00,LONG,108119.4,108020.9,146261.7098112039,-0.003644119371731623,-606.1259849711993,ML Exit (0.716),1
2025-10-21 07:55:00,2025-10-21 16:10:00,LONG,108020.9,113488.7,145362.12980705552,0.20247192904336117,29359.069766982473,ML Exit (0.760),98
2025-10-21 18:00:00,2025-10-22 00:15:00,SHORT,112180.6,108238.9,167635.583339867,0.14054836576021207,23477.089490008206,ML Exit (0.707),74
2025-10-22 13:10:00,2025-10-22 14:20:00,SHORT,108277.3,107698.2,180770.03734511713,0.02139321907731374,3776.8679928657184,ML Exit (0.847),13
2025-10-22 14:50:00,2025-10-22 15:20:00,SHORT,108109.2,107986.7,184039.96275731365,0.004532454222212356,742.1327248765342,ML Exit (0.724),5
2025-10-22 15:20:00,2025-10-22 15:25:00,SHORT,107986.7,107853.5,185327.9287727591,0.004933940939022939,821.7330905298637,ML Exit (0.856),0
2025-10-22 15:30:00,2025-10-22 17:50:00,SHORT,108125.6,107621.4,192006.7247509461,0.018652382044585615,3485.3794228087663,ML Exit (0.847),27
2025-10-22 18:00:00,2025-10-22 18:05:00,SHORT,107843.2,107770.6,179545.34783063488,0.0026927984332805878,393.7067574258343,ML Exit (0.868),0
2025-10-22 18:20:00,2025-10-22 21:00:00,SHORT,107988.8,107250.6,192649.96334364018,0.027343576370882798,5171.414003862777,ML Exit (0.720),31
