window,total_trades,long_trades,short_trades,return_pct,final_capital,win_rate,ml_exit_rate,avg_hold_time
51,45,29,16,-9.383732671778526,9061.626732822147,46.666666666666664,82.22222222222221,24.88888888888889
52,44,24,20,1.1685845064224667,10116.858450642247,54.54545454545454,84.0909090909091,25.75
53,42,20,22,-3.0698877280833585,9693.011227191664,50.0,83.33333333333334,27.38095238095238
54,42,13,29,-4.583405135017584,9541.659486498242,59.523809523809526,83.33333333333334,27.11904761904762
55,42,15,27,-7.346497710369968,9265.350228963003,54.761904761904766,85.71428571428571,27.404761904761905
56,40,11,29,-9.462470055627072,9053.752994437293,55.00000000000001,82.5,27.6
57,31,12,19,-16.342898780089634,8365.710121991036,48.38709677419355,70.96774193548387,35.645161290322584
58,31,8,23,-13.239125798399055,8676.087420160095,51.61290322580645,67.74193548387096,38.67741935483871
59,33,15,18,-4.387300938086482,9561.269906191352,54.54545454545454,75.75757575757575,37.06060606060606
60,34,16,18,-4.00628266898324,9599.371733101676,55.88235294117647,79.41176470588235,32.11764705882353
61,43,23,20,-13.174875357946966,8682.512464205303,48.837209302325576,81.3953488372093,25.13953488372093
62,48,23,25,-11.266250220164984,8873.374977983502,50.0,87.5,23.208333333333332
63,42,22,20,-16.74207949178617,8325.792050821383,45.23809523809524,83.33333333333334,27.071428571428573
64,32,16,16,-17.107975558709512,8289.202444129049,37.5,75.0,34.15625
65,32,18,14,-27.51116720779639,7248.883279220361,34.375,65.625,37.0
66,30,11,19,-26.215913495425813,7378.408650457419,36.666666666666664,63.33333333333333,36.266666666666666
67,29,13,16,-29.86617609513064,7013.382390486936,44.827586206896555,51.724137931034484,37.758620689655174
68,39,15,24,-37.02161379292109,6297.838620707891,48.717948717948715,58.97435897435898,29.974358974358974
69,57,25,32,-38.53973149449147,6146.026850550853,47.368421052631575,71.9298245614035,21.385964912280702
70,62,29,33,-36.00189422798458,6399.810577201542,46.774193548387096,74.19354838709677,18.903225806451612
71,60,27,33,-24.966053661056968,7503.394633894303,45.0,78.33333333333333,18.866666666666667
72,56,30,26,-15.761906920253695,8423.80930797463,44.642857142857146,80.35714285714286,20.125
73,48,27,21,-9.01961691127828,9098.038308872172,41.66666666666667,81.25,21.479166666666668
74,31,19,12,-6.443571162376211,9355.642883762379,41.935483870967744,70.96774193548387,35.45161290322581
75,30,15,15,-6.211386339830241,9378.861366016976,46.666666666666664,73.33333333333333,35.13333333333333
76,43,19,24,-7.13507913552743,9286.492086447257,48.837209302325576,79.06976744186046,27.27906976744186
77,41,12,29,-20.439709480885092,7956.029051911491,43.90243902439025,75.60975609756098,26.29268292682927
78,42,12,30,-10.109287093454931,8989.071290654507,54.761904761904766,76.19047619047619,26.714285714285715
79,49,7,42,-21.060529919206946,7893.947008079305,46.93877551020408,77.55102040816327,22.102040816326532
80,62,5,57,-21.422747765061004,7857.7252234939,43.54838709677419,82.25806451612904,17.887096774193548
81,66,0,66,-25.920757185693873,7407.924281430613,39.39393939393939,83.33333333333334,14.863636363636363
82,76,0,76,-23.95241459152137,7604.758540847863,39.473684210526315,88.1578947368421,11.960526315789474
83,81,0,81,-28.02459148236779,7197.540851763221,37.03703703703704,88.88888888888889,11.753086419753087
84,75,4,71,-3.693111540772006,9630.6888459228,44.0,90.66666666666666,11.786666666666667
85,72,10,62,-3.862582212506259,9613.741778749374,44.44444444444444,90.27777777777779,11.777777777777779
86,67,16,51,6.73624849780399,10673.624849780399,50.74626865671642,89.55223880597015,14.865671641791044
87,65,26,39,1.3510640658012198,10135.106406580122,50.76923076923077,86.15384615384616,16.092307692307692
88,61,31,30,2.8092147788803596,10280.921477888036,55.73770491803278,81.9672131147541,18.131147540983605
89,88,41,47,-22.21682048956136,7778.317951043864,53.40909090909091,82.95454545454545,13.147727272727273
90,89,53,36,-42.7207739790673,5727.92260209327,49.43820224719101,78.65168539325843,12.426966292134832
91,96,68,28,-53.86658878213431,4613.34112178657,47.91666666666667,79.16666666666666,10.34375
92,97,71,26,-47.60050246637427,5239.949753362573,46.391752577319586,81.44329896907216,11.237113402061855
93,103,80,23,-44.702554048901675,5529.7445951098325,48.54368932038835,83.49514563106796,8.87378640776699
94,90,77,13,-40.90288366457761,5909.711633542239,45.55555555555556,82.22222222222221,10.255555555555556
95,85,68,17,-8.689086602787466,9131.091339721253,50.588235294117645,88.23529411764706,11.4
96,85,66,19,-23.879970243696473,7612.002975630353,44.70588235294118,85.88235294117646,11.411764705882353
97,97,72,25,-25.175534054639233,7482.446594536077,48.45360824742268,86.5979381443299,9.8659793814433
98,92,69,23,-18.460946117206976,8153.905388279302,48.91304347826087,88.04347826086956,11.076086956521738
99,74,56,18,-14.675237290113072,8532.476270988693,47.2972972972973,87.83783783783784,14.864864864864865
