entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,side,entry_prob,position_size_pct,hold_time,exit_reason,pnl_pct,balance_before,balance_after
25772,2025-10-12 02:00:00,110233.5,25775,2025-10-12 02:15:00,110215.2,LONG,0.9835692,0.8772899,3,ml_exit,-0.004091719494929663,2.2054352128384505,2.196411190583275
25775,2025-10-12 02:15:00,110215.2,25777,2025-10-12 02:25:00,110414.1,LONG,0.98432356,0.88057375,2,ml_exit,0.002834219122713056,2.196411190583275,2.202636301180967
25778,2025-10-12 02:30:00,110460.7,25785,2025-10-12 03:05:00,111112.5,LONG,0.98709977,0.89270437,7,ml_exit,0.017499652183406485,2.202636301180967,2.241181670338179
25779,2025-10-12 02:35:00,110144.5,25785,2025-10-12 03:05:00,111112.5,LONG,0.9822625,0.87161416,6,ml_exit,0.02715411117032186,2.241181670338179,2.3020389665674292
25781,2025-10-12 02:45:00,109901.1,25785,2025-10-12 03:05:00,111112.5,LONG,0.92418,0.63616276,4,ml_exit,0.0255041151733208,2.3020389665674292,2.3607504335042373
25782,2025-10-12 02:50:00,109950.2,25785,2025-10-12 03:05:00,111112.5,LONG,0.8490642,0.38707948,3,ml_exit,0.01481918215815794,2.3607504335042373,2.395734824208287
25783,2025-10-12 02:55:00,110073.6,25785,2025-10-12 03:05:00,111112.5,LONG,0.8841539,0.49481952,2,ml_exit,0.01670160456929919,2.395734824208287,2.4357474398951133
25786,2025-10-12 03:10:00,110668.1,25788,2025-10-12 03:20:00,110927.0,LONG,0.97182995,0.8268758,2,ml_exit,0.004430160878008492,2.4357474398951133,2.446538192912046
25806,2025-10-12 04:50:00,111480.0,25813,2025-10-12 05:25:00,111530.8,LONG,0.9805911,0.8643778,7,ml_exit,-0.0018819678758778403,2.446538192912046,2.4419338866258777
25849,2025-10-12 08:25:00,111719.4,25867,2025-10-12 09:55:00,111771.0,LONG,0.96976525,0.81814414,18,ml_exit,-0.0017610669218877993,2.4419338866258777,2.437633477632704
25850,2025-10-12 08:30:00,111627.8,25867,2025-10-12 09:55:00,111771.0,LONG,0.95189977,0.7443208,17,ml_exit,0.0008420786030886493,2.437633477632704,2.439686156626391
25853,2025-10-12 08:45:00,111413.4,25855,2025-10-12 08:55:00,111251.9,SHORT,0.7564028,0.20307401,2,ml_exit,0.00036517282913660804,2.439686156626391,2.4405770637224116
25857,2025-10-12 09:05:00,111127.0,25893,2025-10-12 12:05:00,112043.0,SHORT,0.7907981,0.24944377,36,stop_loss,-0.009222256718491839,2.4405770637224116,2.4180694354995005
25865,2025-10-12 09:45:00,111512.0,25867,2025-10-12 09:55:00,111771.0,LONG,0.96931916,0.816263,2,ml_exit,0.004318423140090886,2.4180694354995005,2.428511682504108
25866,2025-10-12 09:50:00,111657.7,25867,2025-10-12 09:55:00,111771.0,LONG,0.983687,0.8778023,1,ml_exit,5.164407784199613e-05,2.428511682504108,2.4286371007504797
25867,2025-10-12 09:55:00,111771.0,25868,2025-10-12 10:00:00,111935.0,LONG,0.9546802,0.75560355,1,ml_exit,0.0014123312097176354,2.4286371007504797,2.4320671407249477
