side,entry_price,exit_price,entry_idx,exit_idx,hold_time,position_size_pct,leveraged_value,entry_fee,exit_fee,total_fees,position_pnl,net_pnl,exit_reason,entry_prob,exit_prob,window
SHORT,115232.0,114653.2,132,252,120,0.45665967,18094.52000182111,9.047260000910555,9.047260000910555,18.09452000182111,90.88715093944488,81.83989093853432,MAX_HOLD,0.7774345,0.0,9
SHORT,114636.5,112874.5,253,373,120,0.43746853,17461.474825267796,8.730737412633898,8.730737412633898,17.461474825267796,268.3885031566897,259.6577657440558,MAX_HOLD,0.7599814,0.0,9
SHORT,113534.3,111635.0,396,516,120,0.44628644,18261.381426570722,9.130690713285361,9.130690713285361,18.261381426570722,305.4921882064348,296.3614974931494,MAX_HOLD,0.76807123,0.0,9
SHORT,111247.2,109532.2,530,650,120,0.43587035,18335.9519691402,9.167975984570099,9.167975984570099,18.335951969140197,282.66920540090393,273.50122941633384,MAX_HOLD,0.7585017,0.0,9
SHORT,109896.6,110271.1,685,805,120,0.43587035,18796.81207927317,9.398406039636585,9.398406039636585,18.79681207927317,-64.05481264832399,-73.45321868796057,MAX_HOLD,0.7585017,0.0,9
SHORT,110254.3,111086.9,813,933,120,0.44104308,18873.720347919556,9.436860173959777,9.436860173959777,18.873720347919555,-142.5274076537392,-151.964267827699,MAX_HOLD,0.76327574,0.0,9
SHORT,111221.0,111235.1,934,1054,120,0.62441,26317.486108671816,13.158743054335908,13.158743054335908,26.317486108671815,-3.3363892981759364,-16.495132352511845,MAX_HOLD,0.91230786,0.0,9
SHORT,111122.4,112060.5,1055,1175,120,0.51051104,21456.345893543697,10.72817294677185,10.72817294677185,21.4563458935437,-181.1353793900552,-191.86355233682704,MAX_HOLD,0.82374823,0.0,9
SHORT,111936.5,111523.4,1176,1296,120,0.56975853,23484.75432871972,11.74237716435986,11.74237716435986,23.48475432871972,86.67013899125176,74.9277618268919,MAX_HOLD,0.8711403,0.0,9
SHORT,111562.7,113177.4,1297,1351,54,0.5338031,22137.62945905847,11.068814729529235,11.068814729529235,22.13762945905847,-320.4084365790864,-331.4772513086156,STOP_LOSS,0.8427689,0.0,9
SHORT,112799.6,112330.0,0,120,120,0.55888534,22355.4140625,11.17770767211914,11.17770767211914,22.35541534423828,93.06861410634549,81.89090643422635,MAX_HOLD,0.8626783,0.0,10
