window,total_trades,long_trades,short_trades,return_pct,final_capital,win_rate,ml_exit_rate,avg_hold_time
75,1,1,0,4.304361749534018,10430.436174953402,100.0,100.0,26.0
76,1,1,0,4.304361749534018,10430.436174953402,100.0,100.0,26.0
77,3,1,2,14.200355420628311,11420.035542062831,100.0,100.0,32.666666666666664
78,2,0,2,9.895993671094292,10989.59936710943,100.0,100.0,36.0
79,2,0,2,9.895993671094292,10989.59936710943,100.0,100.0,36.0
80,10,0,10,11.11269719373211,11111.269719373211,50.0,100.0,12.2
81,11,0,11,14.702414019653807,11470.24140196538,54.54545454545454,100.0,14.727272727272727
82,9,0,9,4.806420348559513,10480.642034855951,44.44444444444444,100.0,10.0
83,9,0,9,4.806420348559513,10480.642034855951,44.44444444444444,100.0,10.0
84,11,2,9,7.692542196738304,10769.25421967383,54.54545454545454,100.0,12.636363636363637
85,4,3,1,13.957922200538725,11395.792220053872,100.0,100.0,28.75
86,7,7,0,14.849737337851693,11484.97373378517,71.42857142857143,100.0,19.857142857142858
87,8,8,0,16.005072377168254,11600.507237716825,75.0,100.0,19.75
88,10,9,1,21.722039199199607,12172.20391991996,80.0,100.0,21.8
89,18,6,12,10.943363707789286,11094.336370778929,38.88888888888889,94.44444444444444,18.166666666666668
90,24,6,18,10.151382625755922,11015.138262575592,37.5,87.5,20.708333333333332
91,61,2,59,-18.830019637481982,8116.998036251802,18.0327868852459,91.80327868852459,10.60655737704918
92,106,1,105,-33.67030615952796,6632.969384047204,16.037735849056602,95.28301886792453,8.075471698113208
93,117,0,117,-31.879955983575375,6812.004401642463,18.803418803418804,94.87179487179486,8.811965811965813
94,155,0,155,-47.19392050073891,5280.607949926109,18.70967741935484,95.48387096774194,6.52258064516129
95,151,1,150,-39.0544641887441,6094.55358112559,18.543046357615893,96.02649006622516,6.80794701986755
96,110,1,109,6.751643584099674,10675.164358409967,22.727272727272727,95.45454545454545,8.263636363636364
97,66,1,65,20.18961191800123,12018.961191800123,28.78787878787879,92.42424242424242,11.272727272727273
98,56,3,53,19.3235763910489,11932.35763910489,25.0,89.28571428571429,11.821428571428571
99,7,3,4,30.825585697997195,13082.55856979972,71.42857142857143,28.57142857142857,78.14285714285714
