entry_idx,exit_idx,side,entry_price,exit_price,position_size,hold_time,pnl_pct,leveraged_pnl_pct,gross_pnl,entry_fee,exit_fee,net_pnl,exit_reason,balance
3368,3369,LONG,105839.5,105794.5,7794.850331729486,1,-0.042517207658766334,-0.17006883063506534,-13.25661080892585,3.8974251658647434,3.8907968604602803,-21.044832835250872,ML Exit (0.883),8184.0607795115775
3369,3371,LONG,105794.5,105888.2,7774.857740535998,2,0.08856793122515545,0.3542717249006218,27.544122625966395,3.8874288702679993,3.901200931580982,19.755492824117415,ML Exit (0.863),8203.816272335695
3371,3389,LONG,105888.2,106392.5,7793.62545871891,18,0.47625703336160485,1.9050281334464194,148.4707576040378,3.8968127293594548,3.9710481081614737,140.60289676651686,ML Exit (0.866),8344.419169102212
3389,3390,LONG,106392.5,106463.1,7927.1982106471005,1,0.06635806095355012,0.2654322438142005,21.041340082119753,3.96359910532355,3.97411977536461,13.103621201431594,ML Exit (0.891),8357.522790303643
3390,3391,LONG,106463.1,106593.4,7939.646650788461,1,0.12238982332844746,0.48955929331378983,38.86927803521197,3.9698233253942306,3.989257964411836,30.910196745405905,ML Exit (0.886),8388.43298704905
3391,3392,LONG,106593.4,106261.4,7969.0113376965965,1,-0.31146393679158374,-1.245855747166335,-99.28238574302988,3.9845056688482985,3.934864475976783,-107.20175588785496,ML Exit (0.908),8281.231231161195
3392,3393,LONG,106261.4,106343.5,7867.169669603135,1,0.07726229844516054,0.30904919378064216,24.3134244372637,3.9335848348015676,3.9457415470202,16.43409805544193,ML Exit (0.914),8297.665329216637
3393,3394,LONG,106343.5,106165.9,7882.782062755805,1,-0.16700597591766853,-0.6680239036706741,-52.65886845347301,3.9413910313779024,3.9150615971511655,-60.51532108200208,ML Exit (0.924),8237.150008134635
3394,3395,LONG,106165.9,106413.2,7825.292507727902,1,0.2329373179147004,0.9317492716588016,72.9121059459255,3.9126462538639513,3.949102306836914,65.05035738522463,ML Exit (0.927),8302.200365519859
3395,3396,LONG,106413.2,106352.6,7887.090347243865,1,-0.05694782226264342,-0.2277912890505737,-17.96610477057017,3.9435451736219327,3.9345621212366475,-25.84421206542875,ML Exit (0.916),8276.35615345443
3396,3397,LONG,106352.6,106297.1,7862.538345781708,1,-0.05218490192059244,-0.20873960768236977,-16.412231696860623,3.931269172890854,3.9230630570424236,-24.2665639267939,ML Exit (0.895),8252.089589527635
3397,3398,LONG,106297.1,106199.8,7839.485110051253,1,-0.0915358932652,-0.3661435730608,-28.703770891511045,3.9197425550256266,3.9053906695798717,-36.52890411611654,ML Exit (0.898),8215.56068541152
3398,3399,LONG,106199.8,106422.7,7804.782651140943,1,0.209887400917887,0.839549603671548,65.52502181507953,3.9023913255704716,3.935153836478011,57.68747665303105,ML Exit (0.877),8273.24816206455
3399,3400,LONG,106422.7,106396.2,7859.585753961323,1,-0.024900702575672295,-0.09960281030268918,-7.8283682890952795,3.9297928769806614,3.925878692836114,-15.684039858912055,ML Exit (0.896),8257.564122205638
3400,3403,LONG,106396.2,106531.3,7844.685916095356,3,0.1269782191469299,0.5079128765877196,39.84416989571162,3.922342958047678,3.9422650429955337,31.97956189466841,ML Exit (0.882),8289.543684100307
3403,3404,LONG,106531.3,106630.6,7875.066499895291,1,0.09321204190693524,0.372848167627741,29.36204114432567,3.9375332499476454,3.9522142705198084,21.472293623858217,ML Exit (0.902),8311.015977724164
3404,3407,LONG,106630.6,106764.4,7895.465178837956,3,0.12547992790061047,0.5019197116024419,39.62889605529469,3.9477325894189783,3.967547037446626,31.713616428429088,ML Exit (0.892),8342.729594152594
3407,3408,LONG,106764.4,106807.8,7925.593114444963,1,0.04065025420459323,0.1626010168183729,12.88709499297446,3.962796557222482,3.969240104718969,4.955058331033008,ML Exit (0.894),8347.684652483627
3408,3409,LONG,106807.8,106672.9,7930.300419859445,1,-0.12630163714635892,-0.5052065485854357,-40.06439704362822,3.965150209929723,3.9451180114079083,-47.97466526496585,ML Exit (0.919),8299.70998721866
3409,3410,LONG,106672.9,106605.9,7884.724487857728,1,-0.06280882960901972,-0.2512353184360789,-19.809212674876854,3.942362243928864,3.9324576375914253,-27.684032556397142,ML Exit (0.896),8272.025954662264
3410,3411,LONG,106605.9,106535.5,7858.42465692915,1,-0.06603762080709809,-0.26415048322839235,-20.758066705417484,3.9292123284645752,3.9188332951118663,-28.606112328993927,ML Exit (0.923),8243.41984233327
3411,3412,LONG,106535.5,106591.0,7831.248850216605,1,0.05209531095268713,0.20838124381074852,16.318853759996305,3.9156244251083026,3.923783851988301,8.479445482899703,ML Exit (0.923),8251.899287816168
3412,3413,LONG,106591.0,106727.8,7839.304323425359,1,0.12834104192661944,0.5133641677064777,40.244179393930516,3.91965216171268,3.9397742514096454,32.38475298080819,ML Exit (0.935),8284.284040796976
3413,3414,LONG,106727.8,106750.2,7870.0698387571265,1,0.020987971268961018,0.08395188507584407,6.60707198642205,3.9350349193785634,3.9383384553717744,-1.2663013883282876,ML Exit (0.935),8283.017739408648
3414,3415,LONG,106750.2,106717.6,7868.866852438215,1,-0.03053858447102794,-0.12215433788411176,-9.612162202578247,3.9344334262191074,3.9296273451178183,-17.476222973915174,ML Exit (0.909),8265.541516434732
3415,3416,LONG,106717.6,106665.7,7852.264440612996,1,-0.04863302772926746,-0.19453211091706984,-15.275175771114906,3.926132220306498,3.9184946324209404,-23.119802623842347,ML Exit (0.920),8242.42171381089
3416,3417,LONG,106665.7,106616.1,7830.300628120346,1,-0.04650042141006084,-0.18600168564024336,-14.564491159002408,3.915150314060173,3.907868068480672,-22.387509541543253,ML Exit (0.934),8220.034204269348
3417,3418,LONG,106616.1,106544.1,7809.03249405588,1,-0.0675320143955744,-0.2701280575822976,-21.094387792163598,3.9045162470279404,3.8939690531318583,-28.892873092323395,ML Exit (0.936),8191.141331177025
3418,3419,LONG,106544.1,106289.1,7781.584264618174,1,-0.23933751376190704,-0.9573500550476282,-74.49700124089965,3.890792132309087,3.853543631688637,-82.24133700489737,ML Exit (0.946),8108.899994172128
3419,3420,LONG,106289.1,106305.9,7703.454994463521,1,0.01580594811696435,0.0632237924678574,4.870416398554413,3.8517274972317606,3.854162705431038,-2.8354738041083856,ML Exit (0.947),8106.06452036802
3420,3421,LONG,106305.9,106403.2,7700.761294349619,1,0.09152831592602378,0.36611326370409514,28.19350850480511,3.8503806471748097,3.8644774014272127,20.478650456203088,ML Exit (0.948),8126.543170824223
