entry_time,exit_time,side,entry_price,exit_price,position_size_pct,pnl_pct,pnl_usd,exit_reason,hold_time
2025-07-17 15:10:00,2025-07-17 15:15:00,LONG,118454.9,118540.0,0.95,0.2873667530849491,65.98037917007976,ML_EXIT,1
2025-07-17 15:15:00,2025-07-17 15:20:00,LONG,118540.0,118630.7,0.95,0.3060570271638168,70.46357006795752,ML_EXIT,1
2025-07-17 15:20:00,2025-07-17 15:25:00,LONG,118630.7,118542.8,0.8378033638000488,-0.2963819652079746,-60.35224817917558,ML_EXIT,1
2025-07-17 15:25:00,2025-07-17 15:30:00,LONG,118542.8,118647.3,0.95,0.3526152579490277,81.21655213667192,ML_EXIT,1
2025-07-17 15:30:00,2025-07-17 15:35:00,LONG,118647.3,118818.6,0.7177593111991882,0.577509981263806,100.83482764883398,ML_EXIT,1
2025-07-17 15:35:00,2025-07-17 15:40:00,LONG,118818.6,119123.4,0.5807194709777832,1.0261019739333348,145.55449720404422,ML_EXIT,1
2025-07-17 15:40:00,2025-07-17 15:45:00,LONG,119123.4,118940.0,0.4337010979652405,-0.615831985990978,-65.62988817252928,ML_EXIT,1
2025-07-17 15:45:00,2025-07-17 15:50:00,LONG,118940.0,119000.0,0.9450734257698059,0.20178241129981506,46.734356122146224,ML_EXIT,1
2025-07-17 15:50:00,2025-07-17 15:55:00,LONG,119000.0,118889.1,0.8971067667007446,-0.37277310924367796,-82.11141202109458,ML_EXIT,1
2025-07-17 15:55:00,2025-07-17 16:00:00,LONG,118889.1,118859.4,0.8891497850418091,-0.09992505620788328,-21.74249361945928,ML_EXIT,1
2025-07-17 16:00:00,2025-07-17 16:05:00,LONG,118859.4,118717.8,0.46054530143737793,-0.4765294120616166,-53.65819436319869,ML_EXIT,1
2025-07-17 16:05:00,2025-07-17 16:10:00,LONG,118717.8,118693.2,0.8580379486083984,-0.08288563298850153,-17.35024360680487,ML_EXIT,1
2025-07-17 16:10:00,2025-07-17 16:15:00,LONG,118693.2,118632.1,0.95,-0.20590901584923577,-47.68807752379921,ML_EXIT,1
2025-07-17 16:15:00,2025-07-17 16:20:00,LONG,118632.1,118701.6,0.95,0.23433792371541934,54.165986692485035,ML_EXIT,1
2025-07-17 16:20:00,2025-07-17 16:25:00,LONG,118701.6,118586.6,0.8455095887184143,-0.38752636864204015,-79.89986176593968,ML_EXIT,1
2025-07-17 16:25:00,2025-07-17 16:30:00,LONG,118586.6,118474.8,0.8031452298164368,-0.37710837480795606,-73.61412593078218,ML_EXIT,1
2025-07-17 16:30:00,2025-07-17 16:35:00,LONG,118474.8,118477.1,0.8442732691764832,0.007765364448820881,1.58865072280769,ML_EXIT,1
2025-07-17 16:35:00,2025-07-17 16:40:00,LONG,118477.1,118481.5,0.95,0.014855191425158716,3.41990366048015,ML_EXIT,1
2025-07-17 16:40:00,2025-07-17 16:45:00,LONG,118481.5,118463.2,0.95,-0.061781797158215954,-14.225169238850558,ML_EXIT,1
2025-07-17 16:45:00,2025-07-17 16:50:00,LONG,118463.2,118471.2,0.95,0.02701260813484694,6.2159634067125475,ML_EXIT,1
2025-07-17 16:50:00,2025-07-17 16:55:00,LONG,118471.2,118591.9,0.95,0.407525204437862,93.80108003108,ML_EXIT,1
2025-07-17 16:55:00,2025-07-17 17:00:00,LONG,118591.9,118771.1,0.8302088975906372,0.6044257660093536,122.05012623005697,ML_EXIT,1
