start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,final_capital,avg_position_size,liquidations
17856,19296,Sideways,11.828990224954486,0.9854519710283656,10.84353825392612,21,52.38095238095239,11182.899022495449,52.40776642660302,0
18144,19584,Sideways,4.619699129900909,0.4176561705300894,4.20204295937082,15,46.666666666666664,10461.969912990091,50.841305779417354,0
18432,19872,Sideways,3.2289418373776786,-0.199871248455579,3.4288130858332577,13,53.84615384615385,10322.894183737768,50.71753057952111,0
18720,20160,Sideways,7.513174841105101,0.8255066612031196,6.687668179901982,13,69.23076923076923,10751.31748411051,50.59590190992906,0
19008,20448,Sideways,6.4883593803133595,2.6640919570134955,3.824267423299864,8,87.5,10648.835938031336,51.88340563699604,0
19296,20736,Bull,9.97032725057732,3.8387833681109274,6.131543882466392,11,90.9090909090909,10997.032725057732,52.390199726278134,0
19584,21024,Bull,12.117924381643553,4.458873929692477,7.659050451951075,13,84.61538461538461,11211.792438164355,52.276097718339706,0
19872,21312,Sideways,9.191674363154815,2.8282408805619776,6.363433482592837,11,72.72727272727273,10919.167436315482,52.615133934400305,0
20160,21600,Bull,7.22218510534145,3.9272006569232705,3.2949844484181794,10,70.0,10722.218510534145,52.885719646513465,0
20448,21888,Sideways,7.630233434867568,0.9822240979703283,6.64800933689724,10,70.0,10763.023343486757,52.85341358333827,0
20736,22176,Sideways,6.302131911692014,2.007659455345502,4.2944724563465115,9,66.66666666666666,10630.213191169201,52.12114902006255,0
21024,22464,Sideways,4.634264548153769,-0.09104548394050191,4.725310032094272,8,62.5,10463.426454815377,52.12607717327774,0
21312,22752,Sideways,7.759723917064567,1.8559216906427174,5.903802226421849,14,57.14285714285714,10775.972391706457,52.76087251092708,0
21600,23040,Sideways,7.759723917064567,-0.010125835177738289,7.769849752242305,14,57.14285714285714,10775.972391706457,52.76087251092708,0
21888,23328,Sideways,5.350516296311817,0.6379649216249923,4.712551374686824,11,54.54545454545454,10535.051629631182,52.34610415317796,0
22176,23616,Sideways,2.266249321491068,-0.8178908017116664,3.084140123202735,8,37.5,10226.624932149107,52.8689068388194,0
22464,23904,Bear,3.6609542702303774,-2.625572083271968,6.286526353502346,8,50.0,10366.095427023038,53.95890249870718,0
22752,24192,Bear,4.685357917041747,-4.857588276746222,9.54294619378797,4,75.0,10468.535791704175,55.34063197299839,0
23040,24480,Sideways,7.055742868379239,-1.5947964608823166,8.650539329261555,7,71.42857142857143,10705.574286837924,54.49582920542786,0
23328,24768,Bear,3.841876082701892,-5.882012035350482,9.723888118052374,12,50.0,10384.18760827019,53.65705494085948,0
23616,25056,Bear,7.954033632211795,-5.059192097493772,13.013225729705567,17,58.82352941176471,10795.40336322118,54.07058877454085,0
23904,25344,Bear,5.925596324298185,-2.901766020460473,8.827362344758658,16,56.25,10592.559632429819,54.0460937442258,0
24192,25632,Sideways,3.0988442406297327,-1.8232332882111617,4.9220775288408944,13,53.84615384615385,10309.884424062973,54.02133924112872,0
24480,25920,Sideways,4.362080238498802,0.26696185254911414,4.095118385949688,14,50.0,10436.20802384988,54.30590791468109,0
24768,26208,Bull,5.790172684934732,3.7379953707053684,2.052177314229364,12,58.333333333333336,10579.017268493473,54.6438847432534,0
25056,26496,Bull,8.416793039807272,6.315823131714351,2.100969908092921,11,63.63636363636363,10841.679303980727,52.73347605900332,0
25344,26784,Bull,13.304171913311949,9.748719257947938,3.555452655364011,15,66.66666666666666,11330.417191331195,52.51302185257277,0
25632,27072,Bull,20.97791028755724,10.66879520261676,10.30911508494048,25,64.0,12097.791028755724,53.56773572683334,0
25920,27360,Bull,16.747595732393947,6.768516237696724,9.979079494697224,24,58.333333333333336,11674.759573239395,53.483680856103696,0
26208,27648,Bull,25.2651887345851,8.283146791084963,16.982041943500136,26,65.38461538461539,12526.51887345851,53.98906019960459,0
26496,27936,Bull,24.528761785691422,6.917883168137441,17.610878617553983,24,66.66666666666666,12452.876178569142,54.29679094689589,0
26784,28224,Sideways,20.49675779717567,0.7771909052223339,19.719566891953335,27,59.25925925925925,12049.675779717567,54.47509660709788,0
27072,28512,Sideways,18.28220053861309,1.5133393229542336,16.768861215658855,23,65.21739130434783,11828.220053861309,54.19802980967191,0
27360,28800,Sideways,18.154444519229237,-0.7849400299850099,18.939384549214246,27,59.25925925925925,11815.444451922924,54.31974009065716,0
27648,29088,Bear,10.084201536209203,-4.421852109135935,14.506053645345139,29,51.724137931034484,11008.42015362092,54.2243335015815,0
27936,29376,Bear,-47.863650131585686,-10.705486759589673,-37.15816337199601,50,46.0,5213.634986841431,54.649064760208134,1
28224,29664,Bear,-41.55153142096811,-5.872437724211824,-35.67909369675628,56,50.0,5844.846857903189,55.18092538150293,1
28512,29952,Bear,-40.433230929094734,-7.300197525958695,-33.13303340313604,57,50.877192982456144,5956.676907090527,54.95383704205354,1
28800,30240,Bear,-37.950045263445254,-6.3843160203858496,-31.565729243059405,63,50.79365079365079,6204.995473655475,54.784042527514806,1
